Manufacturer,Model,Type,Fibre Quantity,Construction,Armor,Diameter,Sag Allowance,Helix Factor,Fibre Number Scheme,Bundle Number Scheme,Name
CORNING,ALTOS,Gel-Free,12,Loose Tube,PDP,12.5,,,Default,Default,CORNING/12F/Gel-Free/PDP
CORNING,ALTOS,Gel-Filled,12,Loose Tube,PDP,12.5,,,Default,Default,CORNING/12F/Gel-Filled/PDP
CORNING,ALTOS,Gel-Free,24,Loose Tube,PDP,17.7,,,Default,Default,CORNING/24F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,48,Loose Tube,PDP,12.5,,,Default,Default,CORNING/48F/Gel-Free/PDP
CORNING,ALTOS,Gel-Filled,60,Loose Tube,PDP,12.5,,,Default,Default,CORNING/60F/Gel-Filled/PDP
CORNING,ALTOS,Gel-Free,84,Loose Tube,PDP,12.5,,,Default,Default,CORNING/84F/Gel-Free/PDP
CORNING,ALTOS,Gel-Filled,96,Loose Tube,PDP,12.5,,,Default,Default,CORNING/96F/Gel-Filled/PDP
CORNING,ALTOS,Gel-Free,120,Loose Tube,PDP,12.5,,,Default,Default,CORNING/120F/Gel-Free/PDP
CORNING,ALTOS,Gel-Filled,132,Loose Tube,PDP,12.5,,,Default,Default,CORNING/132F/Gel-Filled/PDP
CORNING,ALTOS,Gel-Free,156,Loose Tube,PDP,12.5,,,Default,Default,CORNING/156F/Gel-Free/PDP
CORNING,ALTOS,Gel-Filled,168,Loose Tube,PDP,12.5,,,Default,Default,CORNING/168F/Gel-Filled/PDP
CORNING,ALTOS,Gel-Free,192,Loose Tube,PDP,12.5,,,Default,Default,CORNING/192F/Gel-Free/PDP
CORNING,ALTOS,Gel-Filled,204,Loose Tube,PDP,12.5,,,Default,Default,CORNING/204F/Gel-Filled/PDP
CORNING,ALTOS,Gel-Free,228,Loose Tube,PDP,14.2,,,Default,Default,CORNING/228F/Gel-Free/PDP
CORNING,ALTOS,Gel-Filled,240,Loose Tube,PDP,14.2,,,Default,Default,CORNING/240F/Gel-Filled/PDP
CORNING,ALTOS,Gel-Free,264,Loose Tube,PDP,14.2,,,Default,Default,CORNING/264F/Gel-Free/PDP
CORNING,ALTOS,Gel-Filled,276,Loose Tube,PDP,14.2,,,Default,Default,CORNING/276F/Gel-Filled/PDP
CORNING,ALTOS,Gel-Free,300,Loose Tube,PDP,17.7,,,Default,Default,CORNING/300F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,336,Loose Tube,PDP,17.7,,,Default,Default,CORNING/336F/Gel-Free/PDP
CORNING,ALTOS,Gel-Filled,348,Loose Tube,PDP,17.7,,,Default,Default,CORNING/348F/Gel-Filled/PDP
CORNING,ALTOS,Gel-Free,372,Loose Tube,PDP,17.7,,,Default,Default,CORNING/372F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,408,Loose Tube,PDP,17.7,,,Default,Default,CORNING/408F/Gel-Free/PDP
CORNING,ALTOS,Gel-Filled,420,Loose Tube,PDP,17.7,,,Default,Default,CORNING/420F/Gel-Filled/PDP
CORNING,ALTOS,Gel-Free,432,Loose Tube,PDP,17.9,,,Default,Default,CORNING/432F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,456,Loose Tube,PDP,17.9,,,Default,Default,CORNING/456F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,480,Loose Tube,PDP,17.9,,,Default,Default,CORNING/480F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,504,Loose Tube,PDP,17.9,,,Default,Default,CORNING/504F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,528,Loose Tube,PDP,17.9,,,Default,Default,CORNING/528F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,552,Loose Tube,PDP,17.9,,,Default,Default,CORNING/552F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,576,Loose Tube,PDP,20.1,,,Default,Default,CORNING/576F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,600,Loose Tube,PDP,20.1,,,Default,Default,CORNING/600F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,624,Loose Tube,PDP,20.1,,,Default,Default,CORNING/624F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,648,Loose Tube,PDP,20.1,,,Default,Default,CORNING/648F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,672,Loose Tube,PDP,20.1,,,Default,Default,CORNING/672F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,288,Loose Tube,PDP,20.1,,,Default,Default,CORNING/288F/Gel-Free/PDP
CORNING,ALTOS,Gel-Free,288,Loose Tube,PDP,20.1,,,Default,Default,CORNING/288F/Gel-Free/PDP
CORNING,ALTOS,Gel-Filled,288,Loose Tube,PDP,23.7,,,Default,Default,CORNING/288F/Gel-Filled/PDP
CORNING,ALTOS,Gel-Free,12,Loose Tube,PS,12.1,,,Default,Default,CORNING/12F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,60,Loose Tube,PS,12.1,,,Default,Default,CORNING/60F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,96,Loose Tube,PS,12.1,,,Default,Default,CORNING/96F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,132,Loose Tube,PS,12.1,,,Default,Default,CORNING/132F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,168,Loose Tube,PS,12.1,,,Default,Default,CORNING/168F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,204,Loose Tube,PS,12.1,,,Default,Default,CORNING/204F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,240,Loose Tube,PS,13.8,,,Default,Default,CORNING/240F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,276,Loose Tube,PS,13.8,,,Default,Default,CORNING/276F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,312,Loose Tube,PS,17.5,,,Default,Default,CORNING/312F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,348,Loose Tube,PS,17.5,,,Default,Default,CORNING/348F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,384,Loose Tube,PS,17.5,,,Default,Default,CORNING/384F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,420,Loose Tube,PS,17.5,,,Default,Default,CORNING/420F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,444,Loose Tube,PS,17.7,,,Default,Default,CORNING/444F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,468,Loose Tube,PS,17.7,,,Default,Default,CORNING/468F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,492,Loose Tube,PS,17.7,,,Default,Default,CORNING/492F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,516,Loose Tube,PS,17.7,,,Default,Default,CORNING/516F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,540,Loose Tube,PS,17.7,,,Default,Default,CORNING/540F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,564,Loose Tube,PS,17.7,,,Default,Default,CORNING/564F/Gel-Free/PS
CORNING,ALTOS,Gel-Free,588,Loose Tube,PS,20,,,Default,Default,CORNING/588F/Gel-Free/PS
